Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Delete Product,Chrome 114.0.0.0,,,2023-07-20 20:05:12,2023-07-20 20:05:57,45.824s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Delete Product/DeleteCat001 - user should be able to delete product and user redirect to list product,Chrome 114.0.0.0,,,2023-07-20 20:05:12,2023-07-20 20:05:57,45.496s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:12,2023-07-20 20:05:16,3.869s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:16,2023-07-20 20:05:44,27.662s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:44,2023-07-20 20:05:45,1.325s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":emailOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:45,2023-07-20 20:05:48,3.134s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":pwdOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:48,2023-07-20 20:05:51,2.732s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:51,2023-07-20 20:05:52,1.064s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage/Icon_Product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:52,2023-07-20 20:05:54,1.948s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Edit Product/Click Detail Product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:54,2023-07-20 20:05:55,1.132s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Delete Product/Click button delete""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:55,2023-07-20 20:05:56,1.073s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Close Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:05:56,2023-07-20 20:05:57,1.097s,PASSED
