Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Register,Chrome 114.0.0.0,,,2023-07-20 20:24:49,2023-07-20 20:28:11,3m - 21.109s,FAILED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Registration/REG001 - user should be able to register using corret data and acceptable data,Chrome 114.0.0.0,,,2023-07-20 20:24:50,2023-07-20 20:25:13,23.110s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:24:50,2023-07-20 20:24:54,4.019s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:24:54,2023-07-20 20:24:59,4.768s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Registration/Open Registration Page""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:24:59,2023-07-20 20:25:01,2.188s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Registration/Input Username""), [""username"":unameOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:25:01,2023-07-20 20:25:04,3.023s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Registration/Input Email""), [""email"":emailOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:25:04,2023-07-20 20:25:07,2.919s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Registration/Input Password""), [""password"":pwdOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:25:07,2023-07-20 20:25:10,2.743s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Registration/Click button Daftar""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:25:10,2023-07-20 20:25:11,1.432s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Close Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:25:11,2023-07-20 20:25:13,1.534s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Registration/REG002 - user should not be able to register using invalid email or special character,Chrome 114.0.0.0,,,2023-07-20 20:26:15,2023-07-20 20:26:36,20.639s,FAILED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:26:15,2023-07-20 20:26:18,2.942s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-20 20:26:18,2023-07-20 20:26:21,2.893s,PASSED
