Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Homepage Add Product,Chrome 115.0.0.0,,,2023-07-21 19:38:39,2023-07-21 19:39:36,56.448s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Homepage - Add Product/PRODADD001 - user should be abe to add product with valid,Chrome 115.0.0.0,,,2023-07-21 19:38:39,2023-07-21 19:39:10,30.399s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:40,2023-07-21 19:38:43,2.919s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:43,2023-07-21 19:38:44,1.636s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:44,2023-07-21 19:38:45,1.026s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":emailRizki], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:45,2023-07-21 19:38:48,2.349s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":passwordRizki], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:48,2023-07-21 19:38:50,2.192s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:50,2023-07-21 19:38:51,0.978s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage - Add Product/Click button jual""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:51,2023-07-21 19:38:53,1.915s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage - Add Product/Input Product Name""), [""product_name"":""Baju Eiger MN02""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:53,2023-07-21 19:38:54,1.588s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage - Add Product/Input Product Price""), [""product_price"":""120.000""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:54,2023-07-21 19:38:56,1.591s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage - Add Product/Select Product Category""), [""category_value"":""3""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-21 19:38:56,2023-07-21 19:38:57,1.590s,PASSED
