Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Register,,,,2023-07-21 22:38:20,2023-07-21 22:41:17,2m - 57.153s,PASSED
,,,,,,,
Test Cases/secondhand-app/Step Definition/Feature Registration/PR001 - user should be able to register with valid credential,,,,2023-07-21 22:38:20,2023-07-21 22:39:09,48.722s,PASSED
"startApplication(""androidapp/app-release-second-hand-gcp.apk"", false)",,,,2023-07-21 22:38:21,2023-07-21 22:38:35,14.356s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/MenuBar App/Tap Akun""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:38:35,2023-07-21 22:38:40,5.172s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/My Account/Tap Masuk""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:38:40,2023-07-21 22:38:41,1.143s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Login/Tap Daftar""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:38:41,2023-07-21 22:38:43,1.927s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Nama""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:38:43,2023-07-21 22:38:46,2.928s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Email""), [""email"":emailRizkiAppRandom], STOP_ON_FAILURE)",,,,2023-07-21 22:38:46,2023-07-21 22:38:50,4.022s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Password""), [""password"":passwordRizkiApp], STOP_ON_FAILURE)",,,,2023-07-21 22:38:50,2023-07-21 22:38:54,3.323s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Nomor HP""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:38:54,2023-07-21 22:38:56,2.636s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Kota""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:38:56,2023-07-21 22:38:59,2.752s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Alamat""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:38:59,2023-07-21 22:39:02,3.476s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Tap Daftar""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:39:02,2023-07-21 22:39:07,4.579s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Logout/Button Logout""), [:], STOP_ON_FAILURE)",,,,2023-07-21 22:39:07,2023-07-21 22:39:09,2.126s,PASSED
,,,,,,,
