Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Edit Profile,,,,2023-07-23 09:32:14,2023-07-23 09:36:14,3m - 59.510s,PASSED
,,,,,,,
Test Cases/secondhand-app/Step Definition/Feature Edit Profile/ACC001 - user should be able to update account with valid Name input,,,,2023-07-23 09:32:15,2023-07-23 09:32:56,41.086s,PASSED
"startApplication(""androidapp/app-release-second-hand-gcp.apk"", false)",,,,2023-07-23 09:32:15,2023-07-23 09:32:38,22.281s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/MenuBar App/Tap Akun""), [:], STOP_ON_FAILURE)",,,,2023-07-23 09:32:38,2023-07-23 09:32:44,6.527s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/Edit Profile/Tap button edit in account page""), [:], STOP_ON_FAILURE)",,,,2023-07-23 09:32:44,2023-07-23 09:32:45,1.219s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/Edit Profile/Edit Name""), [""name"":unameOktaSeller], STOP_ON_FAILURE)",,,,2023-07-23 09:32:45,2023-07-23 09:32:55,9.511s,PASSED
closeApplication(),,,,2023-07-23 09:32:55,2023-07-23 09:32:56,1.087s,PASSED
,,,,,,,
Test Cases/secondhand-app/Step Definition/Feature Edit Profile/ACC002 - user should be able to update account with valid No Hp input,,,,2023-07-23 09:32:56,2023-07-23 09:33:29,33.006s,PASSED
"startApplication(""androidapp/app-release-second-hand-gcp.apk"", false)",,,,2023-07-23 09:32:56,2023-07-23 09:33:12,15.085s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/MenuBar App/Tap Akun""), [:], STOP_ON_FAILURE)",,,,2023-07-23 09:33:12,2023-07-23 09:33:18,6.561s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/Edit Profile/Tap button edit in account page""), [:], STOP_ON_FAILURE)",,,,2023-07-23 09:33:18,2023-07-23 09:33:19,1.221s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/Edit Profile/Edit Phone""), [""phone"":phoneOkta], STOP_ON_FAILURE)",,,,2023-07-23 09:33:19,2023-07-23 09:33:28,8.960s,PASSED
