Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Add Product,Chrome 114.0.0.0,,,2023-07-24 12:25:57,2023-07-24 12:27:07,1m - 10.433s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Add Product/AddCat001 - user should be abe to add product catalog with valid input,Chrome 114.0.0.0,,,2023-07-24 12:25:57,2023-07-24 12:26:36,38.614s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:25:58,2023-07-24 12:26:02,4.355s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:02,2023-07-24 12:26:05,2.232s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:05,2023-07-24 12:26:06,1.470s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":emailOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:06,2023-07-24 12:26:09,3.117s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":pwdOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:09,2023-07-24 12:26:12,2.614s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:12,2023-07-24 12:26:13,1.205s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage/Icon_Product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:13,2023-07-24 12:26:14,1.403s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/My Product/Icon add product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:14,2023-07-24 12:26:16,1.228s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Input Product Name""), [""product_name"":""Camera Instax Fuji Film""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:16,2023-07-24 12:26:18,2.067s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Input Product Price""), [""product_price"":""12345""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:18,2023-07-24 12:26:20,2.030s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Input Product Category""), [""category_value"":""1""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:20,2023-07-24 12:26:22,2.300s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Input Product Description""), [""product_desc"":""ini adalah kamera canggih""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:22,2023-07-24 12:26:24,2.392s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Upload Product Images""), [""product_image"":findTestData(""image"").getValue(2, 1)], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:24,2023-07-24 12:26:29,4.797s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Click button add or terbitkan""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:29,2023-07-24 12:26:35,5.424s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Close Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:35,2023-07-24 12:26:36,1.083s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Add Product/AddCat002 - user should not be abe to add product catalog with empty input price,Chrome 114.0.0.0,,,2023-07-24 12:26:36,2023-07-24 12:27:07,31.310s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:36,2023-07-24 12:26:38,1.580s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:38,2023-07-24 12:26:39,1.663s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:39,2023-07-24 12:26:40,1.017s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":emailOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:40,2023-07-24 12:26:43,2.744s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":pwdOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:43,2023-07-24 12:26:45,2.224s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:45,2023-07-24 12:26:46,0.884s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage/Icon_Product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:46,2023-07-24 12:26:48,1.971s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/My Product/Icon add product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:48,2023-07-24 12:26:49,1.023s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Input Product Name""), [""product_name"":""Camera Instax Fuji Film""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:49,2023-07-24 12:26:51,1.784s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Input Product Price""), [""product_price"":""""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:51,2023-07-24 12:26:52,1.498s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Input Product Category""), [""category_value"":""1""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:52,2023-07-24 12:26:54,1.755s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Input Product Description""), [""product_desc"":""ini adalah kamera canggih""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:54,2023-07-24 12:26:56,1.834s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Upload Product Images""), [""product_image"":findTestData(""image"").getValue(2, 1)], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:26:56,2023-07-24 12:27:01,4.557s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Click button add or terbitkan""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:27:01,2023-07-24 12:27:05,4.604s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Create Product/Error Messages Price""), [""expected"":errorMessagePrice], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:27:05,2023-07-24 12:27:06,1.037s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Close Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:27:06,2023-07-24 12:27:07,0.888s,PASSED
