Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Edit Product,Chrome 114.0.0.0,,,2023-07-24 12:32:50,2023-07-24 12:34:00,1m - 10.075s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Edit Product/EditCat001 - user should be able to edit product catalog with valid input,Chrome 114.0.0.0,,,2023-07-24 12:32:50,2023-07-24 12:33:28,38.022s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:32:51,2023-07-24 12:32:55,3.967s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:32:55,2023-07-24 12:32:57,2.071s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:32:57,2023-07-24 12:32:58,1.250s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":emailOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:32:58,2023-07-24 12:33:01,2.849s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":pwdOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:33:01,2023-07-24 12:33:03,2.464s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:33:03,2023-07-24 12:33:04,1.125s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage/Icon_Product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:33:04,2023-07-24 12:33:06,1.926s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Edit Product/Click Detail Product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:33:06,2023-07-24 12:33:08,1.163s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Edit Product/Click button edit in detail product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 12:33:08,2023-07-24 12:33:09,1.145s,PASSED
